Any;Codi_Districte;Nom_Districte;Codi_Barri;Nom_Barri;Antiguitat;Nombre_motos
2007;3;Sants-Montjuïc;16;la Bordeta;2 anys;154
2007;3;Sants-Montjuïc;17;Sants - Badal;2 anys;222
2007;3;Sants-Montjuïc;18;Sants;2 anys;364
2007;4;Les Corts;19;les Corts;2 anys;604
2007;4;Les Corts;20;la Maternitat i Sant Ramon;2 anys;319
2007;4;Les Corts;21;Pedralbes;2 anys;249
2007;5;Sarrià-Sant Gervasi;22;Vallvidrera, el Tibidabo i les Planes;2 anys;53
2007;5;Sarrià-Sant Gervasi;23;Sarrià;2 anys;435
2007;5;Sarrià-Sant Gervasi;24;les Tres Torres;2 anys;337
2007;5;Sarrià-Sant Gervasi;25;Sant Gervasi - la Bonanova;2 anys;455
2007;5;Sarrià-Sant Gervasi;26;Sant Gervasi - Galvany;2 anys;900
2007;5;Sarrià-Sant Gervasi;27;el Putxet i el Farró;2 anys;458
2007;6;Gràcia;28;Vallcarca i els Penitents;2 anys;197
2007;6;Gràcia;29;el Coll;2 anys;84
2007;6;Gràcia;30;la Salut;2 anys;182
2007;6;Gràcia;31;la Vila de Gràcia;2 anys;559
2007;6;Gràcia;32;el Camp d'en Grassot i Gràcia Nova;2 anys;394
2007;7;Horta-Guinardó;33;el Baix Guinardó;2 anys;268
2007;7;Horta-Guinardó;34;Can Baró;2 anys;90
2007;7;Horta-Guinardó;35;el Guinardó;2 anys;362
2007;7;Horta-Guinardó;36;la Font d'en Fargues;2 anys;158
2007;7;Horta-Guinardó;37;el Carmel;2 anys;346
2007;7;Horta-Guinardó;38;la Teixonera;2 anys;107
2007;7;Horta-Guinardó;39;Sant Genís dels Agudells;2 anys;56
2007;7;Horta-Guinardó;40;Montbau;2 anys;35
2007;7;Horta-Guinardó;41;la Vall d'Hebron;2 anys;34
2007;7;Horta-Guinardó;42;la Clota;2 anys;3
2007;7;Horta-Guinardó;43;Horta;2 anys;243
2007;8;Nou Barris;44;Vilapicina i la Torre Llobeta;2 anys;201
2007;8;Nou Barris;45;Porta;2 anys;157
2007;8;Nou Barris;46;el Turó de la Peira;2 anys;94
2007;8;Nou Barris;47;Can Peguera;2 anys;17
2007;8;Nou Barris;48;la Guineueta;2 anys;98
2007;8;Nou Barris;49;Canyelles;2 anys;51
2007;8;Nou Barris;50;les Roquetes;2 anys;87
2007;8;Nou Barris;51;Verdun;2 anys;89
2007;8;Nou Barris;52;la Prosperitat;2 anys;177
2007;8;Nou Barris;53;la Trinitat Nova;2 anys;41
